Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15
1660	2	8	2	7	4	6	2	5	1	4	5	3	3	2	2	1	3	17	2	10	2	2	1	2	1	2	1	12	1	1
1670	5	8	5	7	2	6	1	5	3	4	5	3	5	2	2	1	5	5	1	17	2	1	1	2	9	5	1	9	1	1
1680	5	8	5	7	3	6	1	5	2	4	2	3	2	2	1	1	2	2	1	2	1	1	1	1	3	5	1	3	1	1
1690	4	8	4	7	3	6	1	5	3	4	2	3	9	2	2	1	3	9	1	3	2	1	1	2	10	4	1	10	1	1
1700	5	8	5	7	3	6	3	5	5	4	3	3	3	2	2	1	3	3	3	17	2	3	1	2	10	5	1	10	1	1
1710	17	8	5	7	2	6	1	5	1	4	3	3	3	2	1	1	1	3	1	1	1	1	1	1	11	17	1	11	1	1
1720	1	8	1	7	3	6	2	5	1	4	3	3	3	2	1	1	1	3	2	1	1	2	1	1	3	1	1	3	1	1
1730	2	8	2	7	2	6	10	5	2	4	5	3	2	2	9	1	2	16	1	2	1	10	1	9	2	2	1	2	1	1
1740	1	8	1	7	1	6	10	5	1	4	2	3	2	2	2	1	15	2	1	15	2	10	1	2	10	1	1	10	1	1
1750	3	8	3	7	1	6	3	5	1	4	1	3	1	2	2	1	15	1	3	15	2	3	1	2	1	3	1	1	1	1
1760	1	8	1	7	1	6	1	5	3	4	3	3	3	2	1	1	3	3	1	3	1	1	1	1	1	1	1	1	1	1
1770	16	8	5	7	1	6	9	5	2	4	5	3	17	2	1	1	1	17	1	9	1	9	1	1	1	16	1	1	1	1
1780	9	8	1	7	2	6	1	5	2	4	1	3	1	2	1	1	2	1	9	2	9	9	1	9	2	9	1	2	1	1
1790	5	8	1	7	9	6	1	5	2	4	29	3	6	2	2	1	2	29	1	2	2	1	1	2	2	15	1	9	1	1
1800	3	8	3	7	1	6	3	5	4	4	2	3	2	2	2	1	4	2	3	4	2	3	1	2	10	3	1	10	1	1
1810	4	8	3	7	3	6	2	5	5	4	5	3	5	2	1	1	2	5	2	16	1	2	1	1	3	14	1	3	1	1
1820	4	8	4	7	2	6	3	5	5	4	5	3	5	2	2	1	5	5	3	5	2	3	1	2	2	4	1	2	1	1
1830	3	8	3	7	3	6	3	5	13	4	3	3	2	2	1	1	2	11	3	13	2	3	1	9	3	3	1	3	1	1
1840	3	8	3	7	2	6	3	5	2	4	3	3	3	2	2	1	2	3	3	2	2	3	1	2	2	3	1	2	1	1
1850	1	8	5	7	1	6	3	5	2	4	1	3	1	2	2	1	1	1	3	9	2	3	1	2	9	15	1	9	1	1
1860	5	8	5	7	1	6	1	5	5	4	1	3	1	2	1	1	5	1	1	5	9	1	1	9	1	5	1	1	1	1
1870	3	8	3	7	3	6	3	5	3	4	3	3	3	2	2	1	3	3	3	3	2	3	1	2	3	3	1	3	1	1
1880	4	8	4	7	3	6	3	5	4	4	5	3	5	2	2	1	4	5	3	4	2	3	1	2	3	4	1	3	1	1
1890	1	8	1	7	2	6	3	5	1	4	7	3	7	2	9	1	1	7	3	1	1	3	1	9	2	1	1	2	1	1
1900	1	8	1	7	2	6	2	5	1	4	2	3	5	2	2	1	5	16	9	15	1	9	1	9	11	1	1	11	1	1
1910	2	8	2	7	1	6	3	5	4	4	3	3	2	2	1	1	4	11	3	4	1	3	1	1	2	2	1	9	1	1
1920	2	8	2	7	1	6	1	5	10	4	5	3	1	2	2	1	3	15	1	10	2	1	1	2	1	2	1	1	1	1
1930	3	8	5	7	1	6	1	5	3	4	2	3	2	2	1	1	1	2	1	10	1	1	1	1	1	17	1	1	1	1
1940	4	8	4	7	12	6	2	5	5	4	15	3	1	2	2	1	5	15	9	5	2	9	1	2	4	4	1	12	1	1
1950	1	8	1	7	3	6	11	5	4	4	3	3	3	2	1	1	4	3	2	4	1	11	1	1	10	1	1	10	1	1
1960	2	8	2	7	1	6	1	5	3	4	10	3	1	2	1	1	3	10	1	3	1	1	1	1	1	2	1	1	1	1
1970	4	8	4	7	3	6	9	5	1	4	14	3	3	2	2	1	1	14	2	1	2	9	1	2	1	4	1	10	1	1
1980	10	8	1	7	1	6	10	5	4	4	5	3	5	2	1	1	4	5	3	4	2	10	1	9	1	10	1	1	1	1
1990	5	8	5	7	2	6	3	5	1	4	3	3	3	2	9	1	1	3	3	1	2	3	1	9	2	5	1	2	1	1
2000	5	8	1	7	2	6	3	5	2	4	13	3	2	2	1	1	2	13	3	2	1	3	1	1	2	15	1	2	1	1
2010	3	8	3	7	3	6	2	5	2	4	3	3	3	2	2	1	2	3	2	2	2	2	1	2	3	3	1	3	1	1
2020	5	8	5	7	1	6	1	5	16	4	4	3	4	2	1	1	5	4	1	16	1	1	1	1	1	5	1	1	1	1
2030	5	8	3	7	3	6	3	5	2	4	17	3	5	2	9	1	2	17	3	2	1	3	1	9	3	17	1	3	1	1
2040	3	8	10	7	2	6	3	5	1	4	2	3	2	2	2	1	3	2	3	10	2	3	1	2	2	10	1	2	1	1
2050	1	8	1	7	1	6	3	5	1	4	3	3	3	2	1	1	2	3	3	9	1	3	1	1	1	1	1	1	1	1
2060	2	8	2	7	2	6	2	5	2	4	2	3	2	2	2	1	2	2	3	2	2	11	1	2	2	2	1	2	1	1
2070	1	8	2	7	2	6	2	5	5	4	2	3	3	2	1	1	5	11	2	5	1	2	1	1	2	9	1	2	1	1
2080	14	8	4	7	12	6	2	5	3	4	3	3	3	2	2	1	3	3	2	3	2	2	1	2	1	14	1	12	1	1
